Data,F109,F112,F114,F116,F129,F132,F137,F138,F141,CF92,CF93,CF94,CF95,CF97,CF98,CF100,CF101,CF104,CF108
,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000
71,0.93677583,0.927130678,0.877339962,0.817666589,1.06412054,0.976558184,0.96247489,0.988952662,0.938176232,1.118629393,0.961459395,0.908553145,0.883819417,0.893360062,0.924672766,0.932435373,0.885215544,1.003343438,1.082070828
72,0.724741631,1.111130182,0.698172136,1.200898909,0.459443131,0.621452763,1.141865728,0.869167612,1.487962758,1.353017365,0.887650188,1.212737963,0.896763433,0.980753869,0.884626369,1.076300506,0.805578078,2.118644679,1.157716155
73,0.947834537,1.00889599,0.950781976,0.973780841,0.884008893,0.982109792,0.944027357,1.022164624,0.856284475,1.247123168,0.831559645,1.288835634,0.959683289,0.94538682,0.763666828,0.856771891,1.022480484,0.889245089,0.853211965
74,1.233731948,1.236962944,0.956115553,1.341379238,0.927275216,0.85500065,1.135795693,1.236156796,0.821427657,1.596443476,1.102732857,1.16911424,1.090713483,0.819201153,0.989918178,1.083351566,1.066498264,1.043254194,0.99808763
75,0.898437621,0.991586162,0.926188381,1.009577142,0.786620245,0.960624928,0.971891932,1.052030507,0.891934623,1.433574072,0.820061377,1.186589454,0.87345976,0.933439196,0.785128966,0.865552605,1.015307676,0.895844429,0.848619303
76,0.9253429,1.10450081,1.067172009,1.3116204,0.661368763,1.160813497,1.039536588,0.788989441,0.869448956,1.263446702,1.301772658,1.338875555,1.132525987,1.293603924,0.951527026,0.950023495,0.995196476,0.959509996,0.886798614
77,0.930136042,1.039907331,0.935125218,0.884697825,0.920040655,0.960609467,0.951608173,0.991283192,0.793346653,1.376468761,0.920831798,1.222681488,1.022761709,0.913734552,0.797770604,0.836861291,1.063339357,0.833444579,0.903686648
78,0.933601025,1.13015215,0.928520371,0.873578916,0.904625246,0.794251247,1.058039664,1.002658497,1.008900756,1.001149663,0.840285751,1.030323722,0.805432119,0.983416343,0.910191234,0.969074583,0.867519944,0.858073193,1.104590446
79,0.885385811,0.952583673,0.892950367,0.879147137,0.960896242,0.957250683,0.885692477,0.908804666,1.030003692,0.919883024,0.800605174,0.898321883,0.874809876,0.761682422,0.949092147,0.834951932,1.130048064,0.943239401,0.967489131
80,0.853865085,0.899750636,0.900271046,0.851369685,0.983778533,0.986982419,0.999410632,0.969642281,0.935047067,0.998095983,0.874964223,1.195388331,0.828379835,0.931043411,1.002621955,0.92589187,1.197786898,1.034905017,0.86385525
81,0.951568074,0.951128965,0.837585477,0.883835714,0.844033581,0.836843384,0.922562704,0.925624436,0.938090433,1.10990963,0.770053001,1.030580658,0.819942266,0.727693163,0.832180506,0.814939325,0.926963131,0.855127094,0.817322468
82,0.95459491,0.970573326,0.881091601,0.864413308,0.946144256,0.977204782,1.065221521,1.056680976,0.965362421,1.18206877,0.85227996,1.16147725,0.897779059,0.893070935,0.930342753,0.981951225,1.039997404,0.974010702,0.835180484
83,0.835528224,0.824457961,0.958683342,1.019317531,0.805245659,1.202620625,0.889997941,0.969636472,0.888690306,1.312450863,0.726530205,1.206542217,0.844532305,0.731407232,0.966036341,0.908075239,1.114979571,1.055975223,0.691762697
84,0.953361037,0.91439241,0.859536804,0.799494144,1.051870011,0.929501362,1.018397174,1.167762096,0.982864447,1.367894582,0.744844918,1.295667671,0.915581455,0.870069615,0.873660253,1.044760326,1.021431297,1.120649758,0.771609054
85,0.976051349,0.942530279,0.833171135,0.726243904,1.110192146,0.993366366,0.979574635,1.075186926,0.862198371,1.151918503,0.668683095,1.210012764,0.714676472,0.777785621,0.861793325,0.940195664,0.97498906,0.990978369,0.761652059
86,1.165848501,1.544428514,1.112736058,1.492437516,1.050817427,0.856664435,1.030165286,1.197424502,1.302366208,1.446172403,1.334185122,1.213064883,0.525129916,0.804758904,0.534775857,0.653661541,0.368604573,1.09903771,1.619950652
87,0.935731927,1.204476681,0.869871673,1.141214964,0.703601056,0.833033089,0.994603432,0.950987367,1.127472131,1.217018309,1.017601152,0.98071157,1.042846824,0.855147764,0.763420284,0.939593222,0.838386657,0.911776756,1.05220839
88,0.917080034,1.570920577,0.982535995,1.130392674,0.983145404,0.851992416,0.565035684,1.154308833,1.299258999,1.638814303,1.206234085,1.110285626,0.471365686,0.670897881,0.790800429,0.518878525,0.524179326,1.041840734,1.494046054
89,0.947679349,0.942790481,0.898973606,0.899809203,0.764074369,0.829298797,0.954599838,0.963777994,0.785581915,1.11462412,0.915634481,0.970249053,1.037578391,0.916481767,0.954440097,0.928440654,0.9864316,1.01818398,0.97419137
90,0.899404861,1.7863484,0.840224418,0.94800477,0.743776685,0.762634337,0.935508482,0.953152301,0.940929927,1.075492108,0.932035603,0.994771992,0.898075582,0.971745294,0.698172459,0.809626982,0.880827779,0.541038038,0.861484706
91,1.174754445,1.175302416,0.92111009,1.174702804,0.898426938,0.871915274,1.090555939,1.078210586,0.788604538,1.429751538,1.019600231,1.120592668,0.933095071,0.847534723,0.900735638,0.957801319,1.149762181,0.963965183,0.78438765
92,0.870523983,1.048117693,0.820994945,0.976688478,0.899779421,1.018943042,1.053502162,1.00844261,1.000979042,1.1710544,0.90347319,1.246717237,0.906712071,0.852136854,0.986709017,0.961277005,1.028670305,0.972153691,0.90917261
93,1.002240941,0.961867647,0.973951122,0.924691302,0.976268448,0.973802407,0.980785104,1.040674992,0.91054296,1.096611375,0.932017475,0.988424597,0.959992783,0.973969861,0.924492489,0.967754436,0.971681139,0.993819877,0.931277988
94,0.992726609,1.006625708,0.925875571,0.852606192,1.279396206,0.848634159,0.828793061,0.995818063,0.793611045,0.853303844,0.910413386,0.918224905,0.862225434,0.98143089,0.890164968,0.954794414,0.904007369,0.750493752,0.985603299
95,0.817439513,0.678815461,0.707710811,0.878950558,0.607682038,0.607155514,0.838193708,1.019204866,0.927560744,1.500394176,0.797864902,1.181180328,0.804998508,0.885493521,1.149454767,1.048380622,0.863205032,1.513881894,0.854061053
